aspect	aspekt
author	författare
browse	utforska
company home	företaget
dashboard	anslagstavla
details	information	ibland även detaljer
edit inline	direktredigera
email	epostmeddelande	Skriv ihop
home space	personlig mapp
inline editable	direktredigerbar
item	objekt	Även object översätts till objekt
items	objekt	Även object översätts till objekt
javascript	javascript	Lika, då det är ett språk, annar skript med k.
layered	flerlager
mime type	mime-typ	Innehållstyp, mime är ett ord för Multipurpose Internet Mail Extensions
preview	förhandsvisa	använda inte förhandsgranska
sandbox	sandlåda
space	mapp	Använd inte folder, utrymme, område
specialise	specialisera
staging	Försteg	Uppställningsplats, stegnings - behöver kollas
store	datalager
sub-type	undertyp
sub-types	undertyper
subject	ämne
Submit	Skicka
Submitted	Inskickad
title	titel	todo: kolla med msoffice -rubrik där
type	typ
user home	personlig mapp
web project	webbprojekt	Utan bindestreck
website	webbsajt


